Steps	cost_limit	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/success	train/complete	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/actor_rew	loss/actor_total	loss/kl	loss/vf0	loss/vf1	loss/vf_total	loss/total	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	test/success	test/complete	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
20000	20.0	0.0	0.0	1.012745062322574	0.0	1000.0	0.0	0.016799949422704206	1.0	0.0	0.0	-0.01714028568060782	-0.01714028568060782	0.010900608046750467	0.0022090153767912396	0.0006139281432845164	0.0028229435310305035	-0.016434549754381002	1.8388368613444834	312.0	0.0410427159446806	0.0	1000.0	0.0	0.014252776049701783	28.524935722351074	10.18634819984436	981.7060838498327	13.552040815353394	4.78654670715332	1090.5965345179532	199.0	20000.0
37088	10.0	40.0	7.0	0.7700307334011941	0.35	854.0	0.0	0.022008848224875192	1.0	0.0	0.0	-2.6177883476273276e-05	-2.6177883476273276e-05	0.011888828238818058	0.08051347727869691	0.011431523370530085	0.09194500056081316	0.02296007224482089	1.8404192468433662	576.0	0.045634609539316855	0.0	1000.0	0.0	0.014804532865523889	56.209840297698975	19.97410559654236	1001.2963986463616	27.693395853042603	8.542338848114014	1023.520022592951	198.0	37088.0
51064	10.0	60.0	18.0	2.20643363379525	0.55	698.0	0.0	0.02678982365221356	1.0	0.0	0.0	0.00015559987622071773	0.00015559987622071773	0.008659213840642386	0.1634114676379357	0.017823074548181883	0.181234541926878	0.04546423542261534	1.841904136317748	792.0	2.383643148427687	1.0	76.0	0.0	0.036086421372757506	78.11804580688477	22.90373992919922	906.5331716210216	42.475178718566895	12.739127159118652	924.8327799885851	197.0	51064.0
63526	10.0	80.0	35.0	3.228609748193013	0.85	623.0	0.0	0.033977886810429875	1.0	0.0	0.0	0.001690271685220068	0.001690271685220068	0.008765992249512543	0.29715248872526	0.02584635655754633	0.32299884544530255	0.08243998338972842	1.8408591325084371	984.0	3.899552842430323	1.0	67.0	0.0	0.03884089934165852	103.177330493927	26.16697335243225	819.3152380004706	60.39589834213257	16.614458799362183	824.9020308175002	196.0	63526.0
75833	10.0	100.0	53.0	5.44419519932641	0.9	615.0	0.0	0.04183140291226626	1.0	0.0	0.0	-0.0006381838138622697	-0.0006381838138622697	0.007649557706220851	0.3495220075516652	0.023498197365067128	0.37302020545272796	0.09261686756508426	1.8377858772873874	1176.0	5.988221617362953	1.0	56.0	0.0	0.047282528139179464	130.14449524879456	28.564338445663452	770.4711958186865	81.02365255355835	20.556504249572754	746.5335985547772	195.0	75833.0
90291	10.0	130.0	83.0	3.4427023288055403	1.0	361.0	0.0	0.037424364952146696	1.0	0.0	0.0	0.0004909875114787032	0.0004909875114787032	0.007112107544460083	0.6535734199664806	0.031202117438343432	0.6847755392166701	0.17168487261303442	1.836122973398729	1352.0	8.635879186139885	1.0	60.0	0.0	0.05585010490327873	167.47639274597168	31.67721676826477	713.8253390573572	110.45122146606445	25.347954511642456	664.8862141462653	194.0	90291.0
100296	10.0	160.0	111.0	8.241079881290354	0.9	500.0	0.0	0.049656260002814624	1.0	0.0	0.0	-0.003553326877478795	-0.003553326877478795	0.010033358931720544	0.48785679281139993	0.017837810831574295	0.5056946062697815	0.12287032468101154	1.8336862203402395	1552.0	4.9084141921915485	1.0	48.0	0.0	0.040376890481972405	191.61001467704773	34.04675531387329	678.3318935120171	128.38240838050842	29.180850982666016	636.5443340368034	193.0	100296.0
122643	10.0	190.0	135.5	17.57469018875359	0.75	558.0	0.0	0.07285912988480225	1.0	0.0	0.0	-0.00640938957262416	-0.00640938957262416	0.011881956909133417	0.49904798456402677	0.012572201228934769	0.5116201859227447	0.12149565675577462	1.827754705451255	1796.0	65.61611668941389	1.2	96.0	0.0	0.21530428614305616	241.57510423660278	38.31497669219971	627.9006821084093	166.17269229888916	37.087435245513916	603.3795288906729	192.0	122643.0
139379	10.0	230.0	169.5	28.75285020348344	0.95	418.0	0.0	0.11142652477577245	1.0	0.0	0.0	-0.0072749995492183825	-0.0072749995492183825	0.009692505407236662	1.436893247870299	0.020240590316601664	1.4571338399098481	0.3570084602786945	1.8163065841564763	2090.0	47.77015324394953	1.0	76.0	0.0	0.14403331907078074	290.1875259876251	41.435704946517944	599.1451100456361	205.5175473690033	43.23427367210388	560.3134860145088	191.0	139379.0
151374	10.0	280.0	219.0	26.4098153343927	1.0	199.66666666666666	0.0	0.10254981803305965	1.0	0.0	0.0	-0.0023985740783650216	-0.0023985740783650216	0.006216517415466821	5.657128331396316	0.03395866790993346	5.6910870022243945	1.420373170905644	1.8084024541907837	2284.0	57.240204807264334	1.0	76.0	0.0	0.1712472250792138	338.22965931892395	45.35019826889038	564.2312707936499	244.6540641784668	48.22539687156677	516.847441118926	190.0	151374.0
162555	10.0	360.0	299.0	22.303682296984352	1.0	111.2	0.0	0.09025299071994695	1.0	0.0	0.0	-0.002474931303678625	-0.002474931303678625	0.004878824175049397	15.801240377309846	0.0313082399278334	15.832548609594017	3.955662225804678	1.8052444552502982	2444.0	10.421863726169486	1.0	36.0	0.0	0.06131574390438823	383.2488193511963	47.96743941307068	540.9711320327251	281.4779803752899	53.80339956283569	484.8315764806225	189.0	162555.0
174319	10.0	470.0	409.0	22.598297156631258	1.0	97.33333333333333	0.0	0.08771476084642041	1.0	0.0	0.0	-0.0017293636049353783	-0.0017293636049353783	0.0062002417478144575	21.64433538636495	0.017624366909352148	21.661959659221566	5.413760556731116	1.80429477885712	2596.0	40.13092517307254	1.0	57.0	0.0	0.13572157242761526	429.50743532180786	50.41832971572876	525.9991782656514	318.7012450695038	60.38786053657532	459.8364801892756	188.0	174319.0
