Steps	cost_limit	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/success	train/complete	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/actor_rew	loss/actor_total	loss/kl	loss/vf0	loss/vf1	loss/vf_total	loss/total	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	test/success	test/complete	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
19293	20.0	0.0	4.0	0.3913720345072983	0.2	964.0	0.0	0.013454667112028732	1.0	0.0	0.0	-0.00349740274095287	-0.00349740274095287	0.013361253361217686	0.04129768191759162	0.0071092757962712	0.04840695787803272	0.008604336760278483	1.842818703651428	300.0	0.04912930882335143	0.0	1000.0	0.0	0.01530601036130122	31.48385977745056	11.344107389450073	881.5149272387811	14.75029730796814	5.389455080032349	957.9561669037702	199.0	19293.0
36817	10.0	40.0	12.0	0.7450742833317447	0.4	876.0	0.0	0.016301807171663622	1.0	0.0	0.0	8.196191458195873e-05	8.196191458195873e-05	0.009316459738115283	0.09052996291361261	0.012622244607936258	0.1031522071759408	0.02587001375479089	1.849498665508102	572.0	0.04754721748984793	0.0	1000.0	0.0	0.014831915493488421	62.444825410842896	22.51038908958435	888.4786451449692	29.472862005233765	10.46157431602478	921.9361381194951	198.0	36817.0
52813	10.0	60.0	23.0	1.1091238535566228	0.55	799.0	0.0	0.020682226887512624	1.0	0.0	0.0	-0.0003869040867298722	-0.0003869040867298722	0.009630345867809673	0.13760087027725187	0.014925010530972817	0.1525258807007284	0.03774456619172388	1.8536304797857037	820.0	4.364789052892761	0.0	1000.0	0.0	0.02716994811755643	92.85476922988892	34.57922601699829	867.5729174867229	43.28289842605591	14.992644786834717	906.2635384978736	197.0	52813.0
65929	10.0	80.0	36.0	2.3337999018195292	0.65	655.0	0.0	0.024372435470199034	1.0	0.0	0.0	-0.002535408980203974	-0.002535408980203974	0.013582196510077329	0.21781953771178625	0.018083639623250308	0.2359031770451397	0.056440385181785506	1.8565591567871624	1024.0	8.203073072219338	1.0	125.0	0.0	0.05511383354527151	116.57485222816467	38.45148277282715	812.8685227735341	58.7267963886261	19.396573066711426	843.9088131969405	196.0	65929.0
80729	10.0	100.0	46.0	6.4294277922289265	0.5	740.0	0.0	0.03409986738218301	1.0	0.0	0.0	-0.007096467113067203	-0.007096467113067203	0.011637456599712824	0.1651503762491702	0.011072591603008552	0.17622296742506732	0.03695927480268373	1.8565471355329484	1252.0	2.975226905939604	1.0	67.0	0.0	0.04182972619529428	138.41641068458557	41.073209285736084	777.5141157788806	73.85757040977478	23.485630989074707	829.323453922835	195.0	80729.0
91077	10.0	120.0	61.0	4.142316030222288	0.75	517.0	0.0	0.03130726865937837	1.0	0.0	0.0	-0.002018002730619628	-0.002018002730619628	0.008997168448695457	0.35095247910358	0.01948283552192152	0.37043531397357576	0.09059082553721962	1.8543606266379353	1412.0	1.1714789122186815	1.0	51.0	0.0	0.032833973128439976	158.8989155292511	43.661410093307495	743.2192393844375	88.43808841705322	26.79941701889038	790.3416483674791	194.0	91077.0
105666	10.0	150.0	90.0	2.26823052509679	0.975	364.5	0.0	0.028140104257409072	1.0	0.0	0.0	-0.0010913813217225002	-0.0010913813217225002	0.007779813149162301	0.6377751376879002	0.0268798660212529	0.6646550034971109	0.1650723693060822	1.8519470303186345	1584.0	7.405195783219685	1.0	63.0	0.0	0.048700067832885385	187.48966455459595	45.96869707107544	719.6418891066487	110.34884071350098	31.17212677001953	746.6455457372728	193.0	105666.0
119042	10.0	180.0	117.0	10.277445809455282	0.85	668.0	0.0	0.049557323683133536	1.0	0.0	0.0	-0.00443756929486811	-0.00443756929486811	0.011319755329168403	0.35721866800807983	0.010635564129468266	0.3678542313954004	0.08752598862450282	1.8504892627780247	1844.0	21.37521717979637	1.0	74.0	0.0	0.08264002163934761	208.43135380744934	48.66086030006409	695.1788314345821	124.85165405273438	34.91883945465088	745.0812561613411	192.0	119042.0
130162	10.0	200.0	132.0	19.96218188624702	0.75	556.0	0.0	0.07049343459643884	1.0	0.0	0.0	-0.007249377589391245	-0.007249377589391245	0.009534401990348737	0.5455370560981508	0.01115892955703055	0.556695983506913	0.13192461866365623	1.8467211127281191	2016.0	10.432817501493535	1.0	51.0	0.0	0.05752159252983596	228.9972550868988	51.587931871414185	665.7758656735714	139.40417766571045	38.00514554977417	733.6818473846656	191.0	130162.0
149133	10.0	230.0	158.5	23.44584266070725	0.85	473.5	0.0	0.08015396539109819	1.0	0.0	0.0	-0.006349876696843498	-0.006349876696843498	0.011683623996871829	0.831861172943083	0.012765729827774469	0.8446269028194964	0.20480684895221501	1.8360645272960399	2220.0	45.94947410081035	1.0	80.0	0.0	0.1681957537943209	265.2194035053253	54.37235951423645	646.5233496220778	167.9005696773529	42.94647431373596	707.304201079067	190.0	149133.0
163321	10.0	270.0	590.5	8.972504030385966	18.4	354.0	0.0	0.07977811435952689	0.5222832394599278	1.8213773148148156	-0.013082720156590868	-0.002638454025145619	-0.0053442201694089515	0.009363790706696887	8.866358818831262	5.8757597143002975	14.74211854460063	3.6801854009153656	1.825276491818604	2474.0	56.23812624562545	4.6	86.0	0.0	0.20739752961995225	300.0817129611969	58.20584583282471	618.821004739826	194.81806683540344	47.05780029296875	675.226519863264	189.0	163321.0
