Steps	cost_limit	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/success	train/complete	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/actor_rew	loss/actor_total	loss/kl	loss/vf0	loss/vf1	loss/vf_total	loss/total	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	test/success	test/complete	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
19753	20.0	0.0	1.0	0.728917291537231	0.05	987.0	0.0	0.016007771597523257	1.0	0.0	0.0	-0.010088556662334918	-0.010088556662334918	0.011146331928646221	0.01182911261219181	0.0022255865264156315	0.014054699162892127	-0.006574881868588124	1.8410258978218235	308.0	0.04744353574932319	0.0	1000.0	0.0	0.014451635797923579	32.82108807563782	11.472072124481201	871.6821069020456	14.829445600509644	6.519570350646973	925.2417088071851	999.0	19753.0
34040	1.0	40.0	12.0	0.8040011892031599	0.55	714.0	0.0	0.02344136186375663	0.97323600973236	0.027500000000000004	2.6484935382210428e-05	-0.00045863500193015443	-0.0004205840188174585	0.008656768730460583	0.14809833851388907	0.019668378574054027	0.1677667170593685	0.04152109527706422	1.8453617502342574	528.0	0.04514928356142623	0.0	1000.0	0.0	0.01445676411207262	66.3869116306305	23.59788703918457	847.5335086904079	31.99263644218445	10.796388149261475	795.5311046469855	998.0	34040.0
46876	1.0	60.0	22.0	1.5885821467590175	0.5	641.0	0.0	0.02424887586585338	1.0	0.0	0.0	-0.0013314489374170084	-0.0013314489374170084	0.012150132636879788	0.15693065301515152	0.015342572128283783	0.17227322481106966	0.04173685733461753	1.8479494404792782	728.0	-0.19055836604803672	1.0	83.0	0.0	0.029210096477960558	88.47546124458313	26.52710747718811	785.4983819068364	47.33436036109924	14.613993406295776	756.6948457744493	997.0	46876.0
62854	1.0	80.0	29.0	5.624739686292766	0.35	798.0	0.0	0.034937312929413135	1.0	0.0	0.0	-0.005963576402732982	-0.005963576402732982	0.01631572918596512	0.0997206922845855	0.007394373086313981	0.10711506531093148	0.020815189922183397	1.8478963721183035	976.0	-0.858853787246687	1.0	45.0	0.0	0.027602838279735364	114.43788027763367	28.966849088668823	735.0816768099689	65.98879623413086	19.482234954833984	735.3836630452994	996.0	62854.0
75824	1.0	110.0	59.0	0.7712533821908192	1.0	324.0	0.0	0.03014299513032642	0.9707042253521128	0.031200000000000006	-0.00014056709071155637	-0.0011343572467740154	-0.0012444468439685786	0.0064597848150879135	0.595715167671442	0.036332836425863206	0.6320480033755299	0.15676755402237175	1.8477894049882881	1124.0	0.6504808015700151	1.0	40.0	0.0	0.02946587018447907	144.61548042297363	31.143043994903564	696.6884805335865	89.21745991706848	24.254976511001587	668.2151400535465	995.0	75824.0
92753	1.0	150.0	99.0	4.44635123834219	1.0	422.5	0.0	0.039284393219437996	1.0	0.0	0.0	-0.0004013531682385991	-0.0004013531682385991	0.006990268032537784	0.49515366674615807	0.020653481595218168	0.5158071477825823	0.12855043355375517	1.8467675754657158	1362.0	0.535857780212946	1.0	37.0	0.0	0.03112735380286729	178.61160230636597	33.17230463027954	665.3441853374783	115.67670607566833	29.76259160041809	637.7437287037362	994.0	92753.0
105760	1.0	190.0	139.0	4.306608929082222	1.0	324.5	0.0	0.03935437111326168	1.0	0.0	0.0	-0.0004659108424675651	-0.0004659108424675651	0.009104469520971185	0.6348320826888082	0.018441613111644984	0.6532736952602863	0.1628525127563625	1.8439371818304062	1594.0	3.5218554849426433	1.0	38.0	0.0	0.03673627741800508	206.8980393409729	35.511340618133545	632.3895299106938	136.75242686271667	34.63427186012268	617.0840607125026	993.0	105760.0
119340	1.0	240.0	189.0	8.270235405772004	1.0	226.0	0.0	0.04944960834396611	1.0	0.0	0.0	-0.003538852393551049	-0.003538852393551049	0.007378868885657894	1.1560971883053963	0.017175571778072767	1.1732727607282314	0.28977933748123724	1.841275354990592	1781.3333333333333	46.949029096478014	1.0	80.0	0.0	0.16999273523582525	239.89023113250732	39.80899524688721	584.2900544398636	160.13339972496033	39.94783616065979	596.4577311398795	992.0	119340.0
130669	1.0	290.0	262.0	20.17571300891272	2.15	283.0	0.0	0.08051509552771048	0.8655855250495522	0.18094204545454554	-0.00046359264326218346	-0.004188723516397824	-0.004053286989153435	0.009782397702854887	3.1244089305400853	0.6538412942371163	3.7782502377575082	0.9405092727392907	1.837399264628237	1974.0	55.24954524277946	1.0	74.0	0.0	0.21339222432490684	271.9838602542877	43.687567472457886	549.515603383842	184.19659662246704	44.09969615936279	572.3658426852912	991.0	130669.0
142542	1.0	350.0	366.0	22.028179712358817	1.2625	148.0	0.0	0.09017949765015215	0.9802482740137624	0.02076590909090909	-5.615204105505451e-05	-0.003879641948019112	-0.0038310365824854287	0.006745908096118831	8.325242175297305	0.22758371569216257	8.552825881676236	2.1343754387714635	1.8328797498887237	2139.0	69.4137286974374	1.1	76.0	0.0	0.23958559102107868	303.95985174179077	47.69002723693848	519.3538656823383	208.24684762954712	48.022976875305176	556.2184321755801	990.0	142542.0
153040	1.0	440.0	456.0	22.908236764606922	1.0	104.6	0.0	0.08929864285939672	0.9983278009334364	0.0016749999999999998	-5.587247108871033e-06	-0.0024214299614518852	-0.00242295874197783	0.005621376573816843	18.727541620914756	0.02282710436086815	18.750368699049346	4.68516921844238	1.8295663121419077	2293.6	42.24928423795562	1.0	56.0	0.0	0.12770039616400286	335.1198470592499	51.28169846534729	493.9773985278131	232.25084376335144	51.58730483055115	539.1805180457254	989.0	153040.0
164058	1.0	550.0	582.0	23.399843502319598	1.1333333333333333	91.5	0.0	0.08911218404594384	0.9815103317621587	0.02053653846153847	-2.6799308347343808e-05	-0.002874207002885389	-0.002878382839581455	0.005221664019746902	28.85554341780835	0.14601618816885042	29.00155957539877	7.247511545817058	1.8285956940589816	2443.3333333333335	70.18319054320219	1.3	74.0	0.0	0.24304235787141507	368.0093924999237	54.01131081581116	482.7507350991221	258.44896364212036	55.54911804199219	522.4808989917498	988.0	164058.0
175315	1.0	660.0	698.4	32.35086357946388	1.0699999999999998	112.0	0.0	0.11569174834817512	0.9881378219593252	0.012296951219512192	-4.8560038742615825e-06	-0.0005229848774345047	-0.0005240559091513912	0.002085050193805152	27.87779264915282	0.03228159260754362	27.910074234008782	6.976994497020068	1.8271503281302572	2600.8	40.87204233476296	1.8	57.0	0.0	0.13520201233708512	398.21630239486694	56.9164936542511	468.2825361995799	282.00953221321106	59.290276527404785	513.6686148372193	987.0	175315.0
187999	1.0	760.0	799.0	40.6753594115432	1.0	126.2	0.0	0.13767082918528584	0.9977550511349463	0.0022499999999999994	-9.52553210618376e-06	-0.0028505939199215172	-0.0028536986241561027	0.005388855634822552	34.01725337860433	0.016088084045282385	34.03334137733947	8.505481636270561	1.825573775362461	2776.8	21.152380309679167	1.0	42.0	0.0	0.10363405198273479	429.7671957015991	58.7647762298584	460.8372861673578	307.7184853553772	63.283934116363525	506.7325444068159	986.0	187999.0
198159	1.0	850.0	889.5	40.20749084677454	1.025	126.5	0.0	0.13901436965699082	0.9934821732715775	0.006606578947368425	-1.271405708049961e-05	-0.0020059763441838047	-0.002013852735708737	0.005429747799050684	37.25921793987877	0.01952244912421233	37.27874040603635	9.31767124251315	1.8236546665430071	2951.0	70.59415326523113	1.3	71.0	0.0	0.2148112805620442	457.12570691108704	61.14573669433594	454.6024220618295	329.20027446746826	66.77969574928284	500.42682687089433	985.0	198159.0
210572	1.0	940.0	984.0	40.478954344109376	1.03	123.8	0.0	0.13592241656298026	0.9946922870009981	0.005364130434782605	-1.6437714315958633e-05	-0.0024242474259074756	-0.0024276124949229446	0.005520891235589618	37.590916944586695	0.021906391960447254	37.61282333083774	9.400778215864433	1.8213020394677704	3126.4	84.68417100355221	2.3	85.0	0.0	0.3077889557787474	489.41249203681946	64.31534433364868	445.43025147129407	354.40540313720703	70.69174456596375	495.3503008376675	984.0	210572.0
