Steps	cost_limit	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/success	train/complete	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/actor_rew	loss/actor_total	loss/kl	loss/vf0	loss/vf1	loss/vf_total	loss/total	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	test/success	test/complete	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
19303	20.0	0.0	2.0	0.4261719861522729	0.1	965.0	0.0	0.016186916728780296	1.0	0.0	0.0	-0.006630524989838398	-0.006630524989838398	0.011641021890876199	0.022102983800383908	0.004285747516090245	0.026388731293069814	-3.334211709443491e-05	1.8413561248779287	300.0	0.04592254289193673	0.0	1000.0	0.0	0.01489681437279707	28.52055048942566	9.282614946365356	1077.282646945895	13.888683080673218	5.349252462387085	1003.3820914304481	999.0	19303.0
34827	1.0	40.0	10.0	1.743154300308122	0.4	776.0	0.0	0.025730289881881186	1.0	6.938893903907228e-18	1.2738776700582416e-20	0.0001920669372945366	0.0001920669372945366	0.01080394327679339	0.10286637651734054	0.013810053416333783	0.11667642981046815	0.029361174347771638	1.8445189873377486	540.0	0.04042446927689304	0.0	1000.0	0.0	0.015110294351583056	53.71537375450134	17.723861694335938	1128.4222561041229	26.792637825012207	9.198874235153198	967.6448141934482	998.0	34827.0
49614	1.0	60.0	20.0	0.07637614759201672	0.5	739.0	0.0	0.021557236277585858	1.0	0.0	0.0	0.0014496842106158858	0.0014496842106158858	0.010477933847843747	0.13045504121640866	0.015325420914705951	0.14578046261643363	0.03789479994182393	1.846410573051687	768.0	0.04580673857324634	0.0	1000.0	0.0	0.013383267427706505	78.80322694778442	26.32333469390869	1139.6732347494751	39.75794744491577	12.721944808959961	945.390660483605	997.0	49614.0
64237	1.0	80.0	30.0	1.1980887644187839	0.5	731.0	0.0	0.02134505899477311	1.0	0.0	0.0	0.0011236987162479444	0.0011236987162479444	0.011660513436429933	0.1420538796381535	0.0138855474511378	0.15593942725753185	0.04010855554594872	1.849727166849269	996.0	-0.6891466643919231	1.0	96.0	0.0	0.027438075330878157	99.24793291091919	29.303574800491333	1056.5605121830008	53.41956281661987	16.524795293807983	918.4014513162433	996.0	64237.0
77195	1.0	100.0	45.0	2.4009622116028346	0.75	647.0	0.0	0.028885445823466603	0.9876543209876544	0.0125	-3.968736391470882e-06	-0.0010108478291658686	-0.0010022879608454843	0.007939920768985758	0.24321615923196072	0.01909809250151739	0.26231425143778314	0.06457627468742433	1.85177206993103	1196.0	0.0340025191787519	1.0	48.0	0.0	0.028713116086206893	121.27222657203674	31.098527669906616	1011.044649243178	69.8106939792633	20.36300492286682	856.0700175312035	995.0	77195.0
97838	1.0	130.0	69.5	1.5402802154757345	0.725	515.5	0.0	0.02845497888675426	0.9926829268292685	0.007499999999999999	-4.772210945702678e-06	6.150958615762652e-05	3.9521886212873203e-05	0.011106451612613451	0.27776181101798997	0.018019981932593507	0.29578179182426534	0.07398497008398411	1.8541820179671058	1404.0	-0.2374216334051809	1.0	45.0	0.0	0.029582119948272097	158.76208519935608	33.91498637199402	940.4102260332061	98.8153030872345	26.031795740127563	783.6625834236636	994.0	97838.0
109427	1.0	170.0	104.0	0.6461214136722152	1.0	289.0	0.0	0.029545656959143483	0.9668246445497628	0.03499999999999998	1.7499073196218387e-05	-8.353028401457182e-05	-0.00011300678151001951	0.0058538454474976525	0.7034016258337282	0.031001241163308314	0.734402865764092	0.1834877097598193	1.8556336577643056	1660.0	-0.17035785446430118	1.0	35.0	0.0	0.029173867000109554	187.89627408981323	35.51188540458679	908.0340182623769	121.93966245651245	30.44472622871399	718.098493842689	993.0	109427.0
120502	1.0	210.0	144.0	1.2075470614019328	1.0	276.5	0.0	0.030148295993989462	1.0	0.0	0.0	7.28599677261496e-05	7.28599677261496e-05	0.005553138923243664	0.6962491351933705	0.023131790271561065	0.7193809265182128	0.1799180918772305	1.8543413309823906	1814.0	1.3476753173518017	1.0	37.0	0.0	0.03452121052608338	219.52500128746033	37.30311632156372	874.3773501074808	147.83347988128662	34.388405084609985	661.2926873330957	992.0	120502.0
135980	1.0	250.0	184.0	6.570967057844598	1.0	386.5	0.0	0.044321181095196616	1.0	0.0	0.0	-0.0020709355039644395	-0.0020709355039644395	0.008106150072446819	0.5588773574869511	0.013584258553761422	0.572461616058471	0.14104446786124317	1.8519049877837555	2020.0	4.778270766430995	1.0	42.0	0.0	0.04574455009883102	254.05412602424622	39.21658205986023	842.526254571757	175.27306818962097	39.564475774765015	632.94337428537	991.0	135980.0
156569	1.0	290.0	222.0	16.846691356476935	0.9	514.0	0.0	0.07534483721610785	1.0	0.0	0.0	-0.006700731578129758	-0.006700731578129758	0.01214206674157588	0.5163915617792282	0.008826144210385642	0.525217705512349	0.12460369487069071	1.8470023908192599	2312.0	67.7677562995114	1.0	100.0	0.0	0.2275197890129618	294.92689323425293	42.30221223831177	804.709687716288	207.34803795814514	45.27664303779602	619.769214087659	990.0	156569.0
167230	1.0	320.0	305.0	30.882918440433844	3.75	533.0	0.0	0.11457954223201475	0.6974108621741784	0.433875	-0.0007980167401023565	-0.0070038302063305915	-0.0054410929774267765	0.012393942143961148	1.8926883154525982	0.7543257742995261	2.647014090927635	0.656312430504619	1.8424549713367373	2576.0	11.05514734424687	1.0	45.0	0.0	0.05303554587966921	316.3201310634613	44.50502872467041	775.1258900070618	222.90951919555664	48.90558314323425	615.2343948555301	989.0	167230.0
183195	1.0	360.0	501.6666666666667	20.319131577059217	4.916666666666667	265.6666666666667	0.0	0.0924803904126418	0.8160993923936595	0.5033845291479824	-0.0068580842233881036	-0.0010610870208336467	-0.0045865318700902226	0.009815261887194327	4.458818150742707	1.0736804155449107	5.532498572973927	1.3785381118011049	1.8402899599930629	2716.6666666666665	16.91872584165298	1.0	49.0	0.0	0.08003358638124349	363.1924111843109	46.81369948387146	747.4094204422921	262.0900936126709	54.288618087768555	579.0370629407477	988.0	183195.0
196130	1.0	420.0	789.0	22.28505008514933	6.9	215.33333333333334	0.0	0.10662765309122174	0.6295088510182655	0.8179204081632656	-0.0038451293133230317	-0.0029926614990880797	-0.0033795956787221427	0.003914020558206211	11.154020708434437	4.516530504450203	15.670551235578499	3.914258203336171	1.8356619550257314	2923.0	56.84899721500227	1.2	75.0	0.0	0.19409322381402	401.95974564552307	49.91504645347595	716.1367671633359	292.9390377998352	59.105661392211914	557.1167537819035	987.0	196130.0
207477	1.0	490.0	1064.0	31.5615640430069	1.0	141.0	0.0	0.11821555157751283	0.9841551028442083	0.016100000000000003	2.2038616387542466e-06	-0.0014647502024630276	-0.0014393724690940676	0.0023108986359486245	14.51669180393219	0.064764792944283	14.581456636273586	3.6439247671947936	1.83395141848298	3106.0	21.087136996005707	1.0	45.0	0.0	0.08360196757060988	437.7317855358124	51.55211806297302	702.1437985493416	322.1563138961792	64.02335357666016	537.2551107046364	986.0	207477.0
217659	1.0	580.0	1154.0	25.162551655819424	1.0	101.4	0.0	0.09772069754069884	0.9841551028442083	0.016100000000000003	-6.411940878598741e-05	-0.004012422673296993	-0.004011949729207159	0.0066884877363152465	24.589506249678763	0.040596518052839925	24.630102772461754	6.15351373584647	1.8321659070880796	3255.8	66.62824266373514	1.1	70.0	0.0	0.22709624165145598	472.268483877182	54.45900011062622	677.6841279683866	348.4917457103729	69.31773805618286	520.952751090766	985.0	217659.0
228624	1.0	680.0	1254.0	28.96789035066371	1.0	109.2	0.0	0.11177353434130416	0.9841551028442083	0.016100000000000003	-2.5273967540329068e-05	-0.0010346548797315336	-0.0010431343917940011	0.003235338039303314	28.00075954198838	0.03219299551565202	28.032952523231508	7.007194986939428	1.8305519104003898	3415.0	72.74247084526876	1.2	75.0	0.0	0.22670385232292664	508.60916471481323	56.82283926010132	662.8320670073614	377.2835545539856	74.50277090072632	506.04453282178366	984.0	228624.0
