Steps	cost_limit	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/success	train/complete	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/alpha_loss	loss/alpha_value	loss/actor_rew	loss/actor_total	loss/q0	loss/q1	loss/q_total	update/gradient_steps	test/reward	test/cost	test/length	test/success	test/complete	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
10902	7.0	0.0	1.5	7.3688203154527185	0.16666666666666669	908.5	0.0	0.03682689981290852	1.0	0.0	0.0	-1.1035236847058778	0.7330112562267055	-6.936727573177481	-6.936727573177481	0.1950637722246932	0.0868891942220817	0.2819529673135884	1214.0	0.05430307895439741	0.0	1000.0	0.0	0.01324891664747293	120.89327573776245	12.22440242767334	818.0358965737429	46.42318940162659	62.245683908462524	100.32311615940743	199.0	10902.0
22479	10.0	19.0	2.666666666666667	8.01955076002396	0.08333333333333334	964.6666666666667	0.0	0.03827687155555158	1.0	0.0	0.0	-3.372570444440742	0.3742291500964895	-11.94201668766095	-11.94201668766095	0.17065049983725997	0.07574540516371644	0.24639590551823237	3523.3333333333335	18.994284099400556	0.8	624.0	0.0	0.08393282632659978	243.69682669639587	23.904702186584473	679.6989091593251	92.91492223739624	126.87720227241516	102.27391017823548	198.0	22479.0
32479	10.0	30.0	3.0	10.833023631276587	0.0	1000.0	0.0	0.035560813591808606	1.0	0.0	0.0	-5.545304239511495	0.19492300610244306	-12.96045666742325	-12.96045666742325	0.14780055304639939	0.06481395746907216	0.21261451074690554	5695.0	19.772123636144677	1.0	125.0	0.0	0.0928473490560453	340.44426798820496	28.102563619613647	622.9324924570947	133.16302371025085	179.17868065834045	103.98547342775545	197.0	32479.0
44176	10.0	42.0	6.142857142857142	10.684225543998153	0.35714285714285715	835.2857142857143	0.0	0.04547945158308968	1.0	0.0	0.0	-7.69624566787224	0.10229890924162095	-12.237879723348682	-12.237879723348682	0.19568292817067837	0.07865142878629258	0.27433435664696987	7747.428571428572	49.998544920964676	1.0	132.0	0.0	0.15142963247169416	462.91760182380676	32.49598932266235	579.6099885737184	187.12626385688782	243.2953486442566	102.63425143383697	196.0	44176.0
55677	10.0	56.0	10.000000000000002	16.255400583231047	0.2857142857142857	821.4285714285713	0.0	0.062296111015613824	1.0	0.0	0.0	-9.843563239470788	0.05112761310099249	-10.780881883372427	-10.780881883372427	0.20432635152024092	0.0707478099483641	0.27507416126034834	10131.142857142857	0.369492361073009	1.0	32.0	0.0	0.027362501868038187	581.2091965675354	34.02770781517029	563.1587088994787	239.2777383327484	307.9037504196167	101.75234569237672	195.0	55677.0
65821	10.0	78.0	28.0	15.199397339283399	1.0	337.8	0.0	0.06772113074414252	1.0	0.0	0.0	-11.232922371827236	0.026877341371952204	-9.33809993279972	-9.33809993279972	0.3409360801742162	0.09361295584009877	0.4345490351992924	12302.933333333334	25.79759716622248	1.0	65.0	0.0	0.09692175550297619	703.06383228302	36.76956105232239	539.0056185821185	299.1567978858948	367.13747334480286	98.78668156402345	194.0	65821.0
75925	10.0	128.0	76.0	20.050776547862885	0.9714285714285713	144.08571428571426	0.0	0.08196132579269584	1.0	0.0	0.0	-11.24300821956464	0.015050840396793518	-8.120846490232397	-8.120846490232397	0.6752008092223335	0.1337252334819578	0.8089260417868489	14352.799999999997	39.062314432076576	1.0	60.0	0.0	0.15234247835249964	820.5835802555084	39.77332162857056	513.5603254551236	354.30117774009705	426.5090808868408	97.23873266408515	193.0	75925.0
86111	10.0	211.0	222.10416666666669	36.10539601841581	2.2916666666666674	105.875	0.0	0.1392895733044757	0.9170999034344732	0.19586727183513258	1.0753300947459814	-8.106481828095285	0.008938239022296091	-7.516933792823671	-6.45449217835165	1.3219717623760991	0.1390985312291955	1.4610702937233062	16230.70833333333	11.473962024325747	1.0	36.0	0.0	0.05410012317391286	944.0794143676758	41.8567156791687	496.62281578258893	414.85720229148865	487.36549639701843	95.44317619715515	192.0	86111.0
96132	10.0	300.0	454.70731707317066	68.80640852715558	2.52439024390244	121.97560975609758	0.02439024390243903	0.2262880932001511	0.8403512403950814	0.3767615844544093	1.5035446967779227	-3.171109226204206	0.005979702374784206	-8.373540073826208	-6.418221480942094	2.503921504415983	0.09017244361616622	2.594093948439335	18415.682926829268	163.0891158222206	5.5	222.0	0.0	0.4867313590720057	1071.63889169693	48.489187717437744	474.4975340497575	477.4598352909088	545.6898686885834	93.95692499943962	191.0	96132.0
106228	10.0	472.0	685.6030534351145	7.120081975265453	1.0648854961832057	38.30534351145038	0.007633587786259552	0.050096039694654454	0.9991724594505144	0.0008689175769612727	0.002671680131107715	0.01742263208582712	0.005392522716667225	-10.336773091063348	-10.326291577226472	5.895357616475111	0.06782208540446326	5.963179705203934	20309.038167938932	7.182945925251012	1.0	42.0	0.0	0.046792620655630744	1195.6572020053864	50.31166076660156	465.71708512461237	536.2317245006561	609.1138167381287	92.74755623975777	190.0	106228.0
116481	10.0	672.0	891.536231884058	35.48771325957108	1.1739130434782612	74.01449275362319	0.007246376811594203	0.13174815476949506	1.0	0.0	0.0	0.2863405932408241	0.005393813688738885	-11.519073252680263	-11.519073252680263	8.575809140796473	0.06604003416930661	8.641849175699182	22103.33333333333	54.93913336526758	1.0	82.0	0.0	0.20304240890445477	1318.1951670646667	53.74030804634094	451.2999809953887	594.541841506958	669.9130175113678	92.11954002884008	189.0	116481.0
126541	10.0	827.0	1067.0813953488368	29.198359089110333	1.0290697674418605	58.24418604651162	0.0	0.11445382727753739	1.0	0.0	0.0	1.218083422176451	0.00869845993523966	-13.628284823326837	-13.628284823326837	12.835029559180372	0.06446316858198302	12.899492735427524	24304.360465116268	43.55732506598073	1.0	64.0	0.0	0.1570741656969969	1441.3826620578766	56.531471490859985	440.4803084601468	653.6894237995148	731.1617667675018	91.37516063959822	188.0	126541.0
136551	10.0	959.0	1208.0	97.64171830102948	1.2282608695652175	108.63043478260869	0.0	0.30539635080010785	0.9974573024184655	0.0027333999001497742	0.000388205386428567	0.6580299505925802	0.013963228579809608	-16.867960972245545	-16.821748146460887	18.31531337613291	0.0789204801140327	18.394233878588423	26282.19565217392	99.51128776013509	2.9	103.0	0.0	0.3239237523227939	1560.7669627666473	59.59832310676575	435.1129133875939	711.4882884025574	789.6803512573242	90.96313125148833	187.0	136551.0
146648	10.0	1055.0	1332.3999999999999	92.07044826201849	1.23	100.65999999999997	0.009999999999999998	0.2885926207680866	0.9984112364724844	0.0017079207920792094	-0.00037289320509696384	0.5310332200148774	0.02146751913933618	-21.19419319700485	-21.158776791260983	24.8305265292083	0.09486518066772952	24.925391714171578	28373.300000000003	67.87254216015462	1.2	83.0	0.0	0.24365915371984373	1676.9412634372711	62.38052773475647	429.1082645824702	765.8661823272705	848.6945533752441	90.82841961729714	186.0	146648.0
156737	10.0	1155.0	1461.3399999999997	90.43004320241351	1.38	100.62000000000003	0.01	0.30117076476019655	0.9957450018749211	0.005089153046062411	-0.003171114510948366	0.3025274805331613	0.0314426463283691	-26.402699123342895	-26.286263721422618	31.047829703094326	0.11450128641197244	31.162331007446873	30352.800000000003	102.81949588170023	1.7	104.0	0.0	0.3290164518705425	1791.4838881492615	65.34058356285095	425.6619467324889	819.4945130348206	906.64879155159	90.80184685914863	185.0	156737.0
166768	10.0	1249.0	1591.2727272727273	108.48671977987226	1.4318181818181823	113.77272727272728	0.022727272727272735	0.34300940558803095	0.9861311014418	0.018273542600896867	-0.02019852594350425	0.1866397924255347	0.04144383550588622	-31.46213613414146	-31.020735585279688	36.43778755632748	0.13843244694518583	36.57621999825176	32357.295454545463	109.37006402533112	11.8	125.0	0.0	0.4193222599547267	1908.9258780479431	68.8764157295227	421.9586587393025	875.4366111755371	964.6128511428833	90.63234625762512	184.0	166768.0
176905	10.0	1327.0	1840.9117647058824	135.33497740038	5.985294117647061	148.76470588235293	0.014705882352941183	0.43301369384008986	0.8040396622096062	1.2233948989650105	-1.9400683458565842	0.13033354853933077	0.05242884951331989	-35.80660656063712	-29.060957440958596	41.17301039698089	0.191233353602102	41.364243733935844	34367.44117647059	141.07497740693205	19.5	168.0	0.0	0.5245640875300359	2036.4989607334137	73.82004833221436	416.53996027772087	939.6082077026367	1023.0707046985626	90.13445800136977	183.0	176905.0
187082	10.0	1400.0	2167.8461538461534	126.5371749305225	2.717948717948719	130.20512820512818	0.012820512820512827	0.40538968787479573	0.9226646744051943	0.1623036855036858	-0.358806103109142	0.03449272664186043	0.06051423236617878	-38.594000182280695	-35.76589457443949	43.13818725801504	0.2767428637649269	43.414930130867226	36446.128205128196	142.4075771658674	3.9	128.0	0.0	0.44688396502974825	2157.949833393097	77.84443831443787	411.5387135378464	997.7835490703583	1082.3218460083008	89.93871197229673	182.0	187082.0
197120	10.0	1479.0	2351.825	122.77657428540842	1.85	125.25	0.012499999999999999	0.376714587398585	0.9695993848526152	0.04341384462151395	-0.11738541751981267	0.03726090632186109	0.06562494006438327	-40.447454832464615	-39.29607971540967	43.76370487175137	0.3321652270230161	44.09587007262324	38419.9	77.66939680836035	1.0	89.0	0.0	0.25394291416023895	2277.7845451831818	80.14171648025513	410.9095917369496	1056.442332983017	1141.2004957199097	89.696104128232	181.0	197120.0
