Steps	cost_limit	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/success	train/complete	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/alpha_loss	loss/alpha_value	loss/actor_rew	loss/actor_total	loss/q0	loss/q1	loss/q_total	update/gradient_steps	test/reward	test/cost	test/length	test/success	test/complete	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
10916	8.0	0.0	2.857142857142857	5.015455905339784	0.4285714285714286	779.5714285714286	0.0	0.022174249739482475	1.0	0.0	0.0	-1.1043246454799027	0.7328987339741031	-7.062821262400456	-7.062821262400456	0.2733657483870712	0.09057997936827457	0.36394572914998247	1201.2857142857144	8.682947655919905	1.0	345.0	0.0	0.051569335343663404	123.12801170349121	11.568811893463135	298.8206595314555	45.5280339717865	66.03116583824158	97.84939313466427	199.0	10916.0
22012	10.0	21.0	7.166666666666667	7.762422871295202	0.16666666666666669	924.5	0.0	0.024688722182908636	1.0	0.0	0.0	-3.326863013714904	0.3788159956342196	-11.975318026789772	-11.975318026789772	0.48875117855677064	0.19702277373990065	0.6857739515344895	3462.0	0.05976445880312135	0.0	1000.0	0.0	0.013307692618449251	246.40589499473572	23.357921838760376	576.1214586166358	92.34905791282654	130.6989152431488	98.6872899517774	198.0	22012.0
32012	10.0	32.0	8.0	9.157528880324326	0.0	1000.0	0.0	0.025661346743667483	1.0	0.0	0.0	-5.455097799301152	0.20048534183204156	-12.970307024478904	-12.970307024478904	0.3528720473259455	0.14975936430995365	0.5026314122638428	5602.0	15.518297369101901	1.0	142.0	0.0	0.06556522531958493	350.05369544029236	27.673481225967407	537.7350207040962	132.181378364563	190.19883584976196	99.29889797367579	197.0	32012.0
43957	10.0	43.0	8.5	9.261381232820897	0.08333333333333334	995.3333333333333	0.0	0.026617182251586095	1.0	0.0	0.0	-7.658387746607342	0.10447390437400607	-12.235382147941062	-12.235382147941062	0.3025656683013184	0.12087077563768898	0.4234364445437426	7796.5	11.442527727789066	1.0	87.0	0.0	0.05777088285364107	471.82292008399963	31.60565423965454	498.4551144090538	179.61019921302795	260.60706663131714	99.85296672925729	196.0	43957.0
54953	10.0	55.0	9.5	14.725789339599304	0.16666666666666669	916.1666666666666	0.0	0.0375332003573607	1.0	0.0	0.0	-9.88343668352642	0.05239105467710401	-10.79027379084957	-10.79027379084957	0.19970499972571207	0.06940509946184613	0.2691101003572707	10152.0	15.789515773508878	1.0	62.0	0.0	0.06996483518253958	586.3404264450073	34.19740176200867	479.012999700999	226.90982103347778	325.2332036495209	99.52674858393821	195.0	54953.0
65366	10.0	70.0	17.444444444444443	17.65675048618647	0.7777777777777778	578.3333333333333	0.0	0.04881726533301235	1.0	0.0	0.0	-11.570612026989286	0.027673880159640254	-9.33353445178549	-9.33353445178549	0.2277291803026105	0.06458276115918771	0.2923119413514186	12350.22222222222	4.259801274138324	1.0	36.0	0.0	0.04158884475852338	697.8808822631836	36.71030902862549	456.22062148647296	273.98654866218567	387.18402457237244	98.86404907619904	194.0	65366.0
75442	10.0	111.0	58.0	14.491656994121534	1.0	157.24999999999997	0.0	0.04543325125730391	1.0	0.0	0.0	-11.854117466343776	0.015299313793158414	-8.075473442673687	-8.075473442673687	0.47096101205095176	0.09792002117764136	0.5688810326029178	14345.625000000005	1.898372528296997	1.0	25.0	0.0	0.03783667225964946	815.8349750041962	39.21039032936096	433.58405405287573	328.00740146636963	448.6171832084656	97.14088568492433	193.0	75442.0
85502	10.0	235.0	182.0	6.750926882938352	1.0	54.42391304347827	0.0	0.0314350188614963	1.0	0.0	0.0	-11.379547374148967	0.008745642899902217	-7.039655396051951	-7.039655396051951	1.2459147248780975	0.15348356612975417	1.3993982905022075	16194.076086956522	-0.24026808946360792	1.0	22.0	0.0	0.030680482028427797	942.2649211883545	41.117679595947266	418.96819492941347	387.3513662815094	513.7958753108978	94.88127583779801	192.0	85502.0
95631	10.0	445.0	393.2203389830509	10.339912479003736	1.0169491525423733	42.677966101694906	0.0	0.0385400267336299	1.0	0.0	0.0	-8.585588062773569	0.005154345325319218	-6.268428970841019	-6.268428970841019	1.9440318501464449	0.1070907084143646	2.0511225561282553	18086.822033898305	58.088108671784745	1.0	72.0	0.0	0.21655325017605503	1070.0662369728088	43.944822788238525	408.55779727493274	445.4468035697937	580.6746106147766	93.19657369785548	191.0	95631.0
105706	10.0	615.0	607.923076923077	56.47349310645066	3.596153846153846	96.59615384615384	0.0	0.13504771767698506	0.9134875551537507	0.16649516129032257	0.41290434748304106	-1.7239152669222593	0.003627661536574806	-6.427959047890196	-5.629582323625723	2.4688508644071496	0.04403664908434256	2.512887513437873	20030.903846153848	104.7522752289927	11.3	131.0	0.0	0.41647614454926096	1191.1631677150726	49.2709686756134	391.14311161368846	498.7989866733551	643.0932123661041	92.57091001139874	190.0	105706.0
