Steps	cost_limit	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/success	train/complete	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/alpha_loss	loss/alpha_value	loss/actor_rew	loss/actor_total	loss/q0	loss/q1	loss/q_total	update/gradient_steps	test/reward	test/cost	test/length	test/success	test/complete	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
10861	7.0	0.0	2.1666666666666665	6.81544800058533	0.25	905.0	0.0	0.035030957753103574	1.0	0.0	0.0	-1.0994820026758554	0.7337932798249954	-6.812903358609611	-6.812903358609611	0.2250180251645112	0.09305525516266175	0.3180732803992084	1196.5	0.07223300071118917	0.0	1000.0	0.0	0.01311125049778337	121.03742098808289	10.486585855484009	953.5992112028009	45.18332004547119	65.36751508712769	98.24439577478455	999.0	10861.0
22346	10.0	20.0	5.857142857142857	6.085151663121838	0.42857142857142855	820.1428571428571	0.0	0.036041454553029	1.0	0.0	0.0	-3.3553410389135787	0.3760210485576705	-11.670253974124044	-11.670253974124044	0.3286172185428876	0.14279693549182296	0.4714141539170279	3575.0	28.82046465953723	1.0	202.0	0.0	0.11527603104912401	240.52027535438538	16.602152347564697	724.36391066873	93.53214144706726	130.38598155975342	99.79540601686504	998.0	22346.0
33475	10.0	33.0	9.666666666666666	10.474017829248261	0.08333333333333334	927.3333333333333	0.0	0.04308260934434224	1.0	0.0	0.0	-5.633226445850124	0.19057409369586675	-12.63361772458402	-12.63361772458402	0.41904999085366074	0.18432099050447864	0.6033709815208391	5753.0	34.873950528846834	1.0	164.0	0.0	0.12307564319538211	351.43220949172974	21.228480100631714	644.0404558022574	137.92984986305237	192.27387952804565	101.37680777176121	997.0	33475.0
44571	10.0	45.0	11.166666666666668	12.682729501304053	0.25	924.5	0.0	0.04916355192677953	1.0	0.0	0.0	-7.8340097846830155	0.09789711506907184	-11.84743510672185	-11.84743510672185	0.34155905610617804	0.13786739978306375	0.47942645575619586	7992.333333333333	10.590623143937204	1.0	77.0	0.0	0.05295383170355635	458.42151284217834	23.828944206237793	606.1535867887483	181.6875925064087	252.90497612953186	102.55812735108513	996.0	44571.0
55194	10.0	58.0	15.857142857142858	16.84962466207193	0.42857142857142855	758.5714285714286	0.0	0.06492733920675926	1.0	0.0	0.0	-9.811447061875294	0.05110151990371591	-10.486525404986203	-10.486525404986203	0.29236791512052407	0.10257100992463528	0.394938925253995	10142.0	13.074168799871611	1.0	50.0	0.0	0.06683516021246813	565.4658181667328	26.02942156791687	574.4269023031004	228.24846291542053	311.1879336833954	102.31790132813065	995.0	55194.0
65210	10.0	92.0	47.0	11.22969342327908	1.0	185.25925925925927	0.0	0.0592839698824343	1.0	0.0	0.0	-10.746913648520591	0.02788168599869062	-9.088223773005966	-9.088223773005966	0.5090482803755562	0.1406699277990518	0.6497182077516648	12294.555555555555	2.4510212455251854	1.0	27.0	0.0	0.03617895739442811	675.7187159061432	27.57575535774231	552.1154290239724	281.9681406021118	366.17481994628906	100.61051954467746	994.0	65210.0
75355	10.0	165.0	120.26086956521739	21.572735086036676	1.1304347826086956	110.04347826086959	0.0	0.08639322771968012	0.9928146764056396	0.010418719211822662	0.06329502166785629	-10.581451403801085	0.015803059344661616	-7.883789522659625	-7.786495030924632	1.1307005405912325	0.22014575761231384	1.3508462975783468	14097.260869565218	18.816193572052452	1.0	43.0	0.0	0.08307737833118405	787.8678612709045	29.699647903442383	527.2116373536245	334.9502491950989	423.2179641723633	99.39087219880268	993.0	75355.0
85561	10.0	265.0	319.25925925925924	38.70149118798746	2.768518518518518	94.22222222222226	0.009259259259259259	0.139664160256063	0.8932410751239033	0.3558369671729544	1.7189844484308185	-7.076088375405088	0.009443171641532478	-7.4103225769218595	-6.091546327328335	1.8603054518660367	0.17921564775933835	2.039521098264669	16245.148148148146	64.44986335101123	6.0	98.0	0.0	0.238951344165539	906.9351246356964	32.817097187042236	507.20512862948294	392.9392976760864	481.17872977256775	97.8826626533862	992.0	85561.0
95758	10.0	354.0	601.8857142857145	98.15471052949749	3.0285714285714285	145.42857142857147	0.014285714285714292	0.29756924961710746	0.9066989280293695	0.22721715686274496	0.9059295650206375	-2.295526734858235	0.0066115241228401934	-8.793522309789473	-7.653116928771432	3.4771383838910648	0.10803688725447472	3.585175271098522	18190.942857142854	53.997796916632	1.7	76.0	0.0	0.1584106127403119	1020.1193292140961	35.7019100189209	487.7610186897878	446.92859148979187	537.4888277053833	97.27377648222473	991.0	95758.0
105844	10.0	427.0	755.7105263157894	110.48133443960286	1.618421052631579	132.4736842105263	0.0	0.32415675848846276	0.9914020405823696	0.011177347242921007	0.03045073970301002	0.4308924961787031	0.00619176582082129	-11.564024036936177	-11.451491871107521	6.897031694783884	0.08779761072533207	6.984829312850155	20218.473684210523	83.60325605085752	1.4	93.0	0.0	0.25981126055963094	1125.2482335567474	38.40355634689331	477.6901345878618	494.65377950668335	592.1908977031708	97.38650077555015	990.0	105844.0
115928	10.0	517.0	898.4038461538462	84.76830803532962	1.6826923076923077	96.67307692307693	0.0	0.2638362852468687	0.9824389577259466	0.02611607142857137	0.03768214683920624	1.4571208658901655	0.009374921476664296	-15.933552060335401	-15.628731026062889	13.515183330084815	0.08696113007294674	13.602144461006867	22252.69230769231	58.029110289691275	1.8	80.0	0.0	0.17694970993231676	1239.838788986206	40.97639799118042	467.26898748204064	547.1852083206177	651.677182674408	96.69833741617558	989.0	115928.0
