Steps	cost_limit	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/success	train/complete	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/alpha_loss	loss/alpha_value	loss/actor_rew	loss/actor_total	loss/q0	loss/q1	loss/q_total	update/gradient_steps	test/reward	test/cost	test/length	test/success	test/complete	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
10231	7.0	0.0	1.8333333333333335	6.700556563488281	0.25	852.5	0.0	0.026576546927185075	1.0	0.0	0.0	-1.0360065345786786	0.7463199247770868	-6.688716627326017	-6.688716627326017	0.1959629401460814	0.08939709166612894	0.2853600317803469	1160.1666666666667	26.625608082155527	1.0	262.0	0.0	0.11405969383899724	113.25846767425537	8.658447265625	303.6341181446497	46.14178013801575	58.458240270614624	97.81068837301926	199.0	10231.0
21527	10.0	20.0	5.714285714285714	6.3076130509915975	0.35714285714285715	806.5714285714286	0.0	0.03043069995818038	1.0	0.0	0.0	-3.2091866100225093	0.39252492037096176	-11.71077540535332	-11.71077540535332	0.3737918260285389	0.15902938791255808	0.5328212143491162	3365.142857142857	20.030018563968536	0.6	735.0	0.0	0.07869192195556866	242.32947301864624	22.02664804458618	453.35994745030706	99.02356719970703	121.27925777435303	97.71549685091298	198.0	21527.0
32273	10.0	33.0	10.833333333333332	7.232804390715256	0.33333333333333337	895.3333333333333	0.0	0.030725174729699215	1.0	0.0	0.0	-5.433872898234882	0.20226702922305415	-12.84322618218355	-12.84322618218355	0.48007297946627636	0.20919458920000714	0.6892675687626104	5512.5	40.29676708760603	1.0	212.0	0.0	0.14547060597152872	352.9697346687317	27.39664888381958	442.1708673703706	144.61897373199463	180.95411205291748	99.12674422148324	197.0	32273.0
43409	10.0	45.0	13.666666666666666	10.475568300329455	0.16666666666666669	927.8333333333333	0.0	0.03363620305721349	1.0	0.0	0.0	-7.6311293168618155	0.10505802783534623	-12.117247765193756	-12.117247765193756	0.4476451631860203	0.1823925239164786	0.6300376858603012	7717.333333333334	80.61771343620065	1.0	223.0	0.0	0.24244213764654599	469.06573724746704	34.633135080337524	414.4008322292528	190.08485436439514	244.34774780273438	99.92113801647932	196.0	43409.0
53906	10.0	58.0	18.71428571428571	8.318004693075748	0.5	749.5714285714286	0.0	0.035439194683203626	1.0	0.0	0.0	-9.757434998920976	0.054828744069451436	-10.73406769843329	-10.73406769843329	0.38113794252803035	0.13691965332967088	0.5180575968178787	9797.42857142857	7.273775190588475	1.0	76.0	0.0	0.04331379900694658	580.2640657424927	37.44002056121826	403.7123851277119	238.71489548683167	304.10914969444275	99.30658097873733	195.0	53906.0
65117	10.0	74.0	26.444444444444443	10.60652703596884	0.6111111111111112	622.6666666666666	0.0	0.042178500744155155	1.0	0.0	0.0	-11.70725309183854	0.028756909275203905	-9.21866336032675	-9.21866336032675	0.3677144781945581	0.1089958936314836	0.47671037314624654	12069.444444444445	4.462491545935572	1.0	45.0	0.0	0.041594795784137065	696.435028553009	39.802648305892944	391.1800008969453	287.88691329956055	368.74546694755554	99.16812200990448	194.0	65117.0
75139	10.0	108.0	58.0	8.623084730475677	1.0	200.16000000000003	0.0	0.04027903975159138	1.0	0.0	0.0	-12.791868841659998	0.015312378999061271	-7.834208186103008	-7.834208186103008	0.4283770728302221	0.09807190699355425	0.5264489801548572	14395.56	3.436376953750622	1.0	32.0	0.0	0.03656336427931635	806.502792596817	42.69914221763611	372.3259806711906	337.46309065818787	426.34055972099304	98.37475896154486	193.0	75139.0
85206	10.0	199.0	149.0	7.842628873583497	1.0	76.04545454545453	0.0	0.04069021238709736	1.0	0.0	0.0	-12.42398613522387	0.008672917484246048	-6.692141181257223	-6.692141181257223	0.9242004762072082	0.1446663205796565	1.0688667956749838	16177.015151515152	42.112003988509755	1.0	65.0	0.0	0.15789115145839674	924.2075400352478	45.79231858253479	361.5671910160681	392.08741545677185	486.32780599594116	96.99968525031623	192.0	85206.0
95443	10.0	381.0	339.396551724138	12.68350250353217	1.1982758620689653	43.862068965517224	0.0	0.05506825251802302	0.969761437853317	0.05684297218155194	0.21051062439173351	-8.261065684324395	0.005196466630851051	-5.886021739509169	-5.599884138056677	1.7447296809968744	0.12207084049808467	1.8668005208181684	18066.991379310344	3.4523194228260037	1.0	29.0	0.0	0.03624642520059	1052.9654109477997	47.39562273025513	355.49696426384105	453.84103655815125	551.7287516593933	94.91434718735991	191.0	95443.0
105483	10.0	552.0	853.6181818181819	68.17639062460418	6.6909090909090905	91.05454545454543	0.00909090909090909	0.20922874297598204	0.8043582999283039	2.2508045590433507	6.408507371099524	1.8655381470744208	0.004289768143419196	-6.0491033529368075	-4.351904581599291	2.8861757653028044	0.05812761523052264	2.944303379220105	19994.218181818178	99.28632023025014	1.2	102.0	0.0	0.30474099257643383	1174.8206279277802	50.843523263931274	351.54920140398553	513.0941689014435	610.8829357624054	93.84799704754406	190.0	105483.0
